Package Identifier,ULD Identifier,x1,y1,z1,x2,y2,z2
P-1,U1,56,90,56,155,143,111
P-2,U6,107,0,186,163,81,285
P-3,U5,0,50,48,101,101,90
P-4,U1,148,0,0,223,108,56
P-5,U1,159,58,56,223,146,114
P-6,U6,15,83,88,106,139,172
P-7,None,-1,-1,-1,-1,-1,-1
P-8,None,-1,-1,-1,-1,-1,-1
P-9,U5,169,110,195,242,181,283
P-10,U6,104,139,149,174,224,237
P-11,None,-1,-1,-1,-1,-1,-1
P-12,U6,192,225,188,240,313,268
P-13,None,-1,-1,-1,-1,-1,-1
P-14,U6,193,0,92,239,81,137
P-15,U6,4,139,142,53,223,202
P-16,U3,96,0,167,144,93,230
P-17,U6,110,0,129,173,83,186
P-18,None,-1,-1,-1,-1,-1,-1
P-19,U2,0,190,0,51,277,69
P-20,U6,0,83,0,106,139,88
P-21,None,-1,-1,-1,-1,-1,-1
P-22,None,-1,-1,-1,-1,-1,-1
P-23,U3,104,228,190,214,279,240
P-24,None,-1,-1,-1,-1,-1,-1
P-25,U1,56,143,55,100,220,108
P-26,U1,75,0,0,148,69,56
P-27,U3,181,158,109,230,220,202
P-28,U3,15,0,145,96,95,209
P-29,U6,184,139,0,237,225,62
P-30,None,-1,-1,-1,-1,-1,-1
P-31,U4,167,76,0,243,147,49
P-32,U1,139,219,114,209,317,158
P-33,U4,167,227,132,240,317,221
P-34,None,-1,-1,-1,-1,-1,-1
P-35,U4,167,231,69,239,314,132
P-36,U6,104,139,0,184,225,78
P-37,U6,53,139,213,104,215,272
P-38,None,-1,-1,-1,-1,-1,-1
P-39,U4,106,0,0,167,96,64
P-40,U2,0,78,117,70,168,162
P-41,U3,6,158,52,110,226,142
P-42,U3,87,228,44,128,290,153
P-43,None,-1,-1,-1,-1,-1,-1
P-44,U5,0,232,245,84,281,285
P-45,U6,163,0,192,235,81,283
P-46,U3,110,158,68,181,220,162
P-47,None,-1,-1,-1,-1,-1,-1
P-48,U1,0,0,114,53,65,162
P-49,U5,0,170,135,100,239,175
P-50,U5,169,6,219,242,110,283
P-51,None,-1,-1,-1,-1,-1,-1
P-52,None,-1,-1,-1,-1,-1,-1
P-53,U4,0,102,44,106,155,88
P-54,U4,0,43,43,106,102,94
P-55,None,-1,-1,-1,-1,-1,-1
P-56,None,-1,-1,-1,-1,-1,-1
P-57,U6,46,0,95,110,83,154
P-58,U4,0,152,116,102,247,171
P-59,U6,4,139,63,53,224,142
P-60,None,-1,-1,-1,-1,-1,-1
P-61,U4,106,168,146,163,277,241
P-62,U4,0,214,200,92,302,243
P-63,U4,167,233,0,242,318,69
P-64,None,-1,-1,-1,-1,-1,-1
P-65,None,-1,-1,-1,-1,-1,-1
P-66,U1,53,220,54,100,306,104
P-67,None,-1,-1,-1,-1,-1,-1
P-68,U6,197,0,0,243,81,92
P-69,U6,53,139,159,100,223,213
P-70,None,-1,-1,-1,-1,-1,-1
P-71,U5,0,7,176,99,50,236
P-72,None,-1,-1,-1,-1,-1,-1
P-73,U6,0,139,0,104,225,63
P-74,None,-1,-1,-1,-1,-1,-1
P-75,U2,70,0,117,144,85,160
P-76,U2,0,82,74,96,174,114
P-77,U4,0,43,173,96,93,238
P-78,U2,70,85,116,144,189,158
P-79,U4,167,147,0,242,233,62
P-80,U5,0,6,236,85,50,279
P-81,None,-1,-1,-1,-1,-1,-1
P-82,U5,102,1,66,168,98,137
P-83,None,-1,-1,-1,-1,-1,-1
P-84,None,-1,-1,-1,-1,-1,-1
P-85,U2,51,250,0,95,318,47
P-86,U5,102,245,140,167,308,181
P-87,U1,100,143,55,153,250,109
P-88,None,-1,-1,-1,-1,-1,-1
P-89,None,-1,-1,-1,-1,-1,-1
P-90,None,-1,-1,-1,-1,-1,-1
P-91,None,-1,-1,-1,-1,-1,-1
P-92,U1,159,0,56,224,58,114
P-93,None,-1,-1,-1,-1,-1,-1
P-94,U5,102,0,0,169,98,66
P-95,None,-1,-1,-1,-1,-1,-1
P-96,None,-1,-1,-1,-1,-1,-1
P-97,U3,108,98,188,201,151,241
P-98,None,-1,-1,-1,-1,-1,-1
P-99,U3,110,158,0,181,228,68
P-100,None,-1,-1,-1,-1,-1,-1
P-101,None,-1,-1,-1,-1,-1,-1
P-102,U4,0,181,0,106,251,64
P-103,U5,0,101,0,102,179,44
P-104,None,-1,-1,-1,-1,-1,-1
P-105,U3,128,228,95,231,308,190
P-106,U6,107,225,0,197,317,54
P-107,None,-1,-1,-1,-1,-1,-1
P-108,U1,139,110,114,209,219,161
P-109,U5,0,50,198,98,94,277
P-110,None,-1,-1,-1,-1,-1,-1
P-111,None,-1,-1,-1,-1,-1,-1
P-112,U5,102,182,0,169,261,63
P-113,U1,0,84,0,75,170,55
P-114,None,-1,-1,-1,-1,-1,-1
P-115,None,-1,-1,-1,-1,-1,-1
P-116,None,-1,-1,-1,-1,-1,-1
P-117,U5,102,46,195,167,98,244
P-118,None,-1,-1,-1,-1,-1,-1
P-119,None,-1,-1,-1,-1,-1,-1
P-120,U1,53,0,114,144,74,162
P-121,None,-1,-1,-1,-1,-1,-1
P-122,U1,140,214,0,217,318,46
P-123,U5,102,98,208,164,141,248
P-124,U3,0,228,190,104,300,244
P-125,U6,3,225,54,88,316,122
P-126,U6,183,139,112,243,224,176
P-127,None,-1,-1,-1,-1,-1,-1
P-128,None,-1,-1,-1,-1,-1,-1
P-129,U3,28,228,80,87,313,190
P-130,U6,1,0,95,46,78,135
P-131,None,-1,-1,-1,-1,-1,-1
P-132,None,-1,-1,-1,-1,-1,-1
P-133,U6,88,225,54,197,316,117
P-134,U3,154,0,0,242,97,80
P-135,U2,179,0,0,224,108,66
